timestamp[ms],x_accel_raw,y_accel_raw,z_accel_raw,x_gyro_raw,y_gyro_raw,z_gyro_raw,pressure[Pa],state,liftoff_detect,top_detect,burnout_detect,latitude[°],longitude[°]
982274,-1778,1483,1210,-5534,26578,32764,95662.375000,4,2,2,3,33.766281,130.896820
982284,-1898,1128,1169,-2815,26326,32764,95662.375000,4,2,2,3,33.766281,130.896820
982294,-2056,1294,1106,-2371,25661,32764,95662.375000,4,2,2,3,33.766281,130.896820
982304,-2197,1435,1172,-3363,24984,32566,95662.375000,4,2,2,3,33.766281,130.896820
982314,-2248,1389,1129,-2979,23727,31390,95671.093750,4,2,2,3,33.766281,130.896820
982324,-2236,1403,1078,-1777,23072,29407,95671.093750,4,2,2,3,33.766281,130.896820
982334,-2178,1584,1065,-995,21976,27459,95671.093750,4,2,2,3,33.766281,130.896820
982344,-2439,1542,1045,-2163,19988,25201,95671.093750,4,2,2,3,33.766281,130.896820
982354,-2577,1303,1110,-1073,18400,23456,95675.367188,4,2,2,3,33.766281,130.896820
982364,-2224,1101,953,-1250,17083,21970,95675.367188,4,2,2,3,33.766281,130.896820
982374,-2295,895,988,-49,16773,21552,95675.367188,4,2,2,3,33.766281,130.896820
982384,-2403,1274,948,-832,14968,20961,95675.367188,4,2,2,3,33.766281,130.896820
982394,-2180,1733,842,316,14515,21469,95677.250000,4,2,2,3,33.766281,130.896820
982404,-3093,172,908,1059,13488,21699,95677.250000,4,2,2,3,33.766281,130.896820
982414,-3312,1395,891,1142,12014,21524,95677.250000,4,2,2,3,33.766281,130.896820
982424,-2207,862,1124,710,9863,23107,95677.250000,4,2,2,3,33.766281,130.896820
982434,-2913,1534,1235,-316,8302,26999,95675.640625,4,2,2,3,33.766281,130.896820
982444,-3256,1205,1245,849,6365,30599,95675.640625,4,2,2,3,33.766281,130.896820
982454,-2785,511,1333,1815,5828,32764,95675.640625,4,2,2,3,33.766281,130.896820
982464,-2587,1440,1211,2688,3957,32764,95675.640625,4,2,2,3,33.766281,130.896820
982474,-2211,1167,1152,2824,2848,32764,95681.625000,4,2,2,3,33.766281,130.896820
982484,-1716,758,1217,1812,1857,32764,95681.625000,4,2,2,3,33.766281,130.896820
982494,-2088,56,1194,2475,863,32764,95681.625000,4,2,2,3,33.766281,130.896820
982504,-1837,2158,1105,3441,-527,32764,95681.625000,4,2,2,3,33.766281,130.896820
982514,-1501,1360,1120,3094,-1404,32764,95689.312500,4,2,2,3,33.766281,130.896820
982524,-1654,743,1033,2494,-2172,32764,95689.312500,4,2,2,3,33.766281,130.896820
982534,-1151,1673,1010,1906,-3371,32764,95689.312500,4,2,2,3,33.766281,130.896820
982544,-1122,1465,1059,1815,-3417,32764,95689.312500,4,2,2,3,33.766281,130.896820
982554,-809,1393,1156,-528,-5033,32764,95696.562500,4,2,2,3,33.766281,130.896820
982564,-118,1285,1269,-1528,-5113,32764,95696.562500,4,2,2,3,33.766281,130.896820
982574,235,1218,1440,-1901,-5305,32764,95696.562500,4,2,2,3,33.766281,130.896820
982584,134,1648,1488,-1180,-5273,32764,95696.562500,4,2,2,3,33.766281,130.896820
982594,569,1393,1583,-2707,-5006,32764,95696.328125,4,2,2,3,33.766281,130.896820
982604,1096,1064,1671,-2735,-4761,31710,95696.328125,4,2,2,3,33.766281,130.896820
982614,1411,1209,1735,-2659,-4279,24195,95696.328125,4,2,2,3,33.766281,130.896820
982624,1423,985,1740,-3543,-3478,16225,95696.328125,4,2,2,3,33.766281,130.896820
